tutorial,id,name,school,gender,cgpa,team
,,Ilya Semyonov,NIE,Male,3.9,3
,,Ilya Semyonov,CCDS,Male,4.09,3
,,Yumi Nishikawa,CoB (NBS),Female,4.14,4
,,Benjamin Hernandez,MAE,Male,4.79,4
,,Khairul Bin Ali,SoH,Male,3.9,4
,,Kangtai,MSE,Female,4.05,4
,,Tristan Zhang,CEE,Male,4.09,4
,,Sakshi Singh,SSS,Female,4.14,5
,,Claire Ng,LKCMedicine,Female,4.79,5
,,Emily Thompson,SPMS,Female,4.05,5
,,Nguyen Van Tinh,SoH,Male,3.9,5
,,Andre Green,MSE,Male,4.09,5
,,Giselle Wu,SSS,Female,4.14,6
,,Zhihao,CCEB,Female,4.05,6
,,Disha Iyer,EEE,Female,4.05,6
,,Peter Harris,CoE,Male,4.09,6
,,Sari Rakhmawati,SoH,Female,4.79,6
,,Eun-Hee Kim,NIE,Female,4.14,7
,,Suhana Bhat,CEE,Female,4.79,7
,,Kamal Ahmed,CCDS,Male,3.95,7
,,Gina Tan,CCEB,Female,4.05,7
,,Benedict Cruz,CCDS,Male,4.09,7
,,Misha Malik,CoB (NBS),Female,4.14,8
,,Aira Binti,CCEB,Female,4.79,8
,,Kaden White,EEE,Male,3.95,8
,,Tara Nair,CCEB,Female,4.05,8
,,Nolan Reed,EEE,Male,4.09,8
,,Nguyen Hoang Khoa,ADM,Female,4.14,9
,,Ciara Lim,CCDS,Female,4.79,9
,,Dewi Tan,EEE,Female,4.05,9
,,Angela Yip,CEE,Female,4.05,9
,,Leo Chen,CoE,Male,4.09,9
,,Siti binti Ahmad,SSS,Female,4.14,10
,,Maira Binti Rahman,SSS,Female,4.73,10
,,Aina Binti Zain,MAE,Female,4.05,10
,,Xia Chen,SBS,Female,4.05,10
,,Faris Abdul,CoB (NBS),Male,4.04,10
,,Alia Zainal,ASE,Female,4.14,11
,,Yanzhi,SSS,Female,4.73,11
,,Aifen,MAE,Female,4.05,11
,,Sanjana Iyer,CCDS,Female,4.05,11
,,Joshua White,EEE,Male,4.09,11
,,Aubree King,NIE,Female,4.14,12
,,Liyana Binti Mohd,SoH,Female,4.73,12
,,Umi Lestari,EEE,Female,4.05,12
,,David Simmons,MAE,Male,3.95,12
,,Zhao Qiang,MAE,Male,4.09,12
,,Zahra Yousaf,SSS,Female,4.14,13
,,Yongqiang,SoH,Female,4.73,13
,,Opal Wang,SoH,Female,4.0,13
,,Sunita Iyer,CCEB,Female,4.05,13
,,Ren Tanaka,CEE,Male,4.09,13
,,Shreya Mehta,CoB (NBS),Female,4.14,14
,,Eli Carter,SPMS,Male,3.95,14
,,Laras Wati,LKCMedicine,Female,4.73,14
,,Victor Reyes,SBS,Male,3.95,14
,,John Brown,CoB (NBS),Male,4.04,14
,,Charlotte Alexander,CoB (NBS),Female,4.14,15
,,Nabihah Binti Rahman,SBS,Female,4.73,15
,,Yasmin Tan,MAE,Female,4.05,15
,,Yuri Mikhailov,CoE,Male,3.95,15
,,Gideon Hall,CCDS,Male,4.09,15
,,Matthew Martinez,CEE,Male,4.57,16
,,Diya Mukherjee,SoH,Female,4.14,16
,,Riya Nair,CoB (NBS),Female,4.0,16
,,Ming Zhou,CoB (NBS),Male,4.04,16
,,Nina Anggraini,SPMS,Female,4.05,16
,,Faisal Bin Yusof,CEE,Male,4.57,17
,,Fatimah Rahman,SSS,Female,4.14,17
,,Li Ming,CCEB,Female,4.05,17
,,Ian Lee,CCDS,Male,4.09,17
,,Kiran Nair,SPMS,Male,3.95,17
,,Deepika Singh,SoH,Female,4.14,18
,,Jin Zhi Lim,SoH,Male,3.9,18
,,Shan Biao,MAE,Male,4.09,18
,,Feng Yi Tan,EEE,Female,4.05,18
,,Ravi Mehta,CEE,Male,4.57,18
,,Yasir Ahmad,SoH,Male,4.52,19
,,Victoria Wang,ASE,Female,4.14,19
,,Wen Lee Tan,EEE,Female,4.05,19
,,Oliver Thomas,CCDS,Male,4.09,19
,,Jasmine Hapsari,EEE,Female,4.05,19
,,Mateo Huang,SSS,Male,4.52,20
,,Samantha Tan,CoB (NBS),Female,4.14,20
,,Ulysses Wong,WKW SCI,Male,3.9,20
,,Liam Chen,MAE,Male,4.09,20
,,Siti Zulaikha,CCEB,Female,4.05,20
,,Troy Wong,CoB (NBS),Male,4.52,21
,,Ariana Cox,SSS,Female,4.14,21
,,Olivia Bell,SSS,Female,4.0,21
,,Jian Li,CEE,Male,4.09,21
,,Neha Iyer,CCDS,Female,4.05,21
,,Uriah Howard,CoB (NBS),Male,4.52,22
,,Maya Reddy,CoB (NBS),Female,4.14,22
,,Krishna Kumar,CCEB,Male,3.95,22
,,Dylan Wong,CoE,Male,4.09,22
,,Rita Narayan,CoB (NBS),Female,4.0,22
,,Chandra Widyanto,ADM,Male,4.52,23
,,Alia Khan,CoB (NBS),Female,4.14,23
,,Jasmine Lee,SoH,Female,4.0,23
,,Zylen Alvarado,CCDS,Male,4.09,23
,,Aaron Thompson,EEE,Male,3.95,23
,,Neela Kaur,CoB (NBS),Female,4.14,24
,,Ian Alonzo,SSS,Male,4.52,24
,,Fengyi,EEE,Female,4.05,24
,,Lian Chen,CEE,Male,4.09,24
,,Hana Ng,CoE,Female,4.05,24
,,Emily Liang,ASE,Female,4.14,25
,,Pei Li,WKW SCI,Male,4.52,25
,,Elya Fitria,CCDS,Female,4.05,25
,,Fei Hong Lim,NIE,Male,4.04,25
,,Sophia Baker,CCEB,Female,4.05,25
,,Emilia Tsang,ADM,Female,4.14,26
,,Shahid Hussain,CCEB,Female,4.05,26
,,Lachlan Zhao,CCEB,Male,4.09,26
,,Bingwen,CoB (NBS),Male,4.52,26
,,Bushra Khan,CCDS,Female,4.05,26
,,Mia Thompson,CoB (NBS),Female,4.14,27
,,Nadia Binti Zain,SSS,Female,4.0,27
,,Zane Wu,EEE,Male,4.09,27
,,Imran Ashraf,EEE,Male,3.95,27
,,Kaito Saito,NIE,Male,4.52,27
,,Riley Lim,SoH,Male,4.48,28
,,Victoria Kwan,WKW SCI,Female,4.14,28
,,Guixiang,CCDS,Female,4.05,28
,,Kain Yang,EEE,Male,4.09,28
,,Efei,WKW SCI,Male,3.9,28
,,Akiko Suzuki,SoH,Female,4.14,29
,,Arjun Choudhury,SBS,Male,3.95,29
,,Le Minh Tuan,EEE,Male,4.09,29
,,Zhihao,ASE,Male,4.48,29
,,Rita Wong,SSS,Female,4.0,29
,,Ashok Nair,CEE,Male,4.52,30
,,Coco Tan,CoB (NBS),Female,4.14,30
,,Rina Binti Khairul,CCDS,Female,4.05,30
,,Harrison Torres,SBS,Male,4.09,30
,,Liangyu,SoH,Female,4.0,30
,,Jason Robinson,CoE,Male,4.52,31
,,Hannah King,SSS,Female,4.14,31
,,Ming Yi Tan,SoH,Female,4.0,31
,,Kazuki Watanabe,EEE,Male,4.09,31
,,Siddharth Rao,CoE,Male,3.95,31
,,Asher Thompson,SPMS,Male,4.52,32
,,Shalini Patel,CoB (NBS),Female,4.14,32
,,Annie Goh,ADM,Female,4.0,32
,,Boris Villanueva,MAE,Male,4.09,32
,,Darren Lee,CoB (NBS),Male,3.9,32
,,Nicolas Ramos,CoE,Male,4.52,33
,,Lana Garcia,CoB (NBS),Female,4.14,33
,,Layla Baker,SSS,Female,4.0,33
,,Gabriel Howard,EEE,Male,4.09,33
,,Peizhen,MAE,Female,4.05,33
,,Nitesh Singh,CCDS,Male,4.52,34
,,Bingwen,CCDS,Female,4.05,34
,,Emilio Cruz,MSE,Male,4.09,34
,,Yasmine Tan,WKW SCI,Female,4.14,34
,,Ying Wang,SoH,Female,4.0,34
,,Fauzi Bin Zain,MAE,Male,4.52,35
,,Rebecca Lee,CCDS,Female,4.05,35
,,Jeremiah Green,CoB (NBS),Male,4.04,35
,,Leila Iyer,SSS,Female,4.14,35
,,Oscar Ho,CCDS,Male,3.95,35
,,Aaron Lee,MAE,Male,4.52,36
,,Exiang,EEE,Male,3.95,36
,,Vivek Iyer,CEE,Male,4.09,36
,,Clara Lim,SoH,Female,4.14,36
,,Tallulah Tan,MAE,Female,4.05,36
,,Tristan Smith,CCDS,Male,4.52,37
,,Danying,SBS,Female,4.05,37
,,Theo Santos,EEE,Male,4.09,37
,,Ursula Wong,CoB (NBS),Female,4.14,37
,,Michael Brown,WKW SCI,Male,3.9,37
,,Yun Ling Ng,MAE,Male,4.52,38
,,Aarav Patel,ASE,Male,3.9,38
,,Saad Khan,CCDS,Male,4.09,38
,,Nita Nair,ASE,Female,4.14,38
,,Lydia Bennett,SoH,Female,4.0,38
,,Wei Jie,NIE,Male,3.9,39
,,Eli Barnes,EEE,Male,4.52,39
,,Floyd Mendoza,CEE,Male,4.09,39
,,Xena Kwan,SSS,Female,4.14,39
,,Zara Johnson,CCEB,Female,4.05,39
,,Rizqi Bin Mohd,MAE,Female,4.05,40
,,Victor Liu,EEE,Male,4.52,40
,,Thomas Wu,CCDS,Male,4.09,40
,,Katherine Chen,CoB (NBS),Female,4.14,40
,,Sheela Krishnan,SSS,Female,4.0,40
,,Nina Wu,CCEB,Female,4.05,41
,,Saad Khatri,EEE,Male,4.09,41
,,Daniel Green,SBS,Male,4.52,41
,,Anika Reddy,SoH,Female,4.14,41
,,Igor Kuznetsov,CoB (NBS),Male,3.9,41
,,Aida Binti Omar,MAE,Female,4.05,42
,,Deepak Kumar,EEE,Male,4.09,42
,,Nami Fujimoto,CoB (NBS),Female,4.14,42
,,Igor Petrov,CCDS,Male,4.52,42
,,Lillian Cooper,CCEB,Female,4.05,42
,,Timothy Tan,SBS,Male,3.95,43
,,Derek Tan,CCDS,Male,4.09,43
,,Eva Clark,SoH,Female,4.14,43
,,Desmond Chen,CCEB,Male,4.52,43
,,Diana Khan,ADM,Female,4.0,43
,,Mei Zhen Goh,LKCMedicine,Female,4.0,44
,,Vinny Rivera,LKCMedicine,Male,4.04,44
,,Wren Zhao,CoB (NBS),Female,4.14,44
,,Zane Wu,SBS,Male,4.52,44
,,Jack Peterson,EEE,Male,3.95,44
,,Jasmine Chan,SSS,Female,4.0,45
,,Elijah Clark,WKW SCI,Male,4.04,45
,,Joyce Lim,WKW SCI,Female,4.14,45
,,Dingming,CCDS,Male,4.52,45
,,Violet Lee,CCEB,Female,4.05,45
,,Aldina Putri,SoH,Female,4.0,46
,,Mason Jackson,CEE,Male,4.09,46
,,Lina Cheng,SSS,Female,4.14,46
,,Jae-Min Park,CCDS,Male,4.52,46
,,Mei Xuan Tan,CoB (NBS),Female,4.0,46
,,Melati Ahmad,CCDS,Female,3.88,47
,,Si Min Tan,ADM,Female,4.0,47
,,Victor Wong,LKCMedicine,Male,4.04,47
,,Vaishali Singh,SSS,Female,4.14,47
,,Matthew Baker,CCDS,Male,4.5,47
,,Rohan Sharma,CoE,Male,4.48,48
,,Beckett Lee,CCEB,Male,4.09,48
,,Oscar Harris,SPMS,Male,3.95,48
,,Nisha Patel,SSS,Female,4.14,48
,,Aaliyah Howard,CoB (NBS),Female,4.0,48
,,Hikaru Matsumoto,CCEB,Male,4.48,49
,,Gavin Ramirez,CCEB,Male,4.09,49
,,James Lewis,CoE,Male,3.95,49
,,Celia Wang,CoB (NBS),Female,4.14,49
,,Natalia Fedorova,SSS,Female,4.0,49
,,Prerna Gupta,MAE,Female,4.04,50
,,Joshua Li,CCDS,Male,4.48,50
,,Evan Lewis,CCEB,Male,4.09,50
,,Shila Binti Zain,CoB (NBS),Female,4.0,50
,,Sofia Lin,CoB (NBS),Female,4.14,50
,,Tanya Lee,CoE,Female,4.04,51
,,Ben Wong,CoE,Male,4.09,51
,,Lianhua,CoB (NBS),Male,3.9,51
,,Tian Gao,CCDS,Male,4.48,51
,,Zainab Rehman,CoB (NBS),Female,4.14,51
,,Hope Chen,CCDS,Female,4.04,52
,,Aarav Singh,MAE,Male,4.09,52
,,Josh Tan,SSS,Male,3.9,52
,,Arjun Kumar,SPMS,Male,4.48,52
,,Anam Iqbal,SSS,Female,4.14,52
,,Lyric Tan,EEE,Female,4.04,53
,,Saifullah Malik,LKCMedicine,Male,4.04,53
,,Mara Dela Cruz,CCDS,Female,4.05,53
,,Jacob Robinson,CCDS,Male,4.48,53
,,Akira Kobayashi,CoB (NBS),Female,4.14,53
,,Julia Tan,MAE,Female,4.04,54
,,Nicolas Brown,CoE,Male,4.09,54
,,Kartik Subramanian,CCEB,Male,3.95,54
,,Henry Baker,MAE,Male,4.48,54
,,Maya Gupta,CoB (NBS),Female,4.14,54
,,Kylie Zhang,SBS,Female,4.04,55
,,Jasper Tan,SBS,Male,4.09,55
,,Isabella Tan,SPMS,Female,4.05,55
,,Kieran Kim,EEE,Male,4.48,55
,,Katherine Young,CoB (NBS),Female,4.14,55
,,Aria Tan,CCDS,Female,4.04,56
,,Owen Mitchell,CCDS,Male,4.09,56
,,Sadaf Iqbal,SBS,Female,4.05,56
,,Parker Wu,SPMS,Male,4.48,56
,,Mai Tran,SoH,Female,4.14,56
,,Layla Torres,ASE,Female,4.52,57
,,Xun Wei,EEE,Female,4.18,57
,,Meera Gupta,EEE,Female,4.04,57
,,Kevin Ross,SPMS,Male,4.09,57
,,Kiran Tan,CEE,Female,4.05,57
,,Hae-Jin Lee,SoH,Female,4.52,58
,,Mia Zhang,EEE,Female,4.18,58
,,Riya Khan,CCEB,Female,4.04,58
,,Dylan Nguyen,NIE,Male,4.04,58
,,Isaac Green,ASE,Male,3.9,58
,,Yasir Qureshi,CoE,Male,4.08,59
,,Katia Tan,CCEB,Female,4.04,59
,,Harper Martinez,CoB (NBS),Female,4.52,59
,,Carter Bell,MAE,Male,4.09,59
,,Jacob Young,CCDS,Male,3.95,59
,,Jasper Wang,CCEB,Male,4.08,60
,,Tristan Young,WKW SCI,Male,3.89,60
,,Samantha Lee,CoB (NBS),Female,4.52,60
,,Jin Hui,EEE,Male,4.09,60
,,Aiyun,CoB (NBS),Female,4.0,60
,,Rishi Tan,CCDS,Male,4.08,61
,,Ursula Turner,SBS,Female,4.04,61
,,Priyanka Singh,CoB (NBS),Female,4.52,61
,,Kien Vo,CEE,Male,4.09,61
,,Lan Huang,EEE,Female,4.05,61
,,Aria Martinez,EEE,Female,4.18,62
,,Hannah Tan,SPMS,Female,4.04,62
,,Rongwei,EEE,Male,4.09,62
,,Fatima Reddy,WKW SCI,Female,4.52,62
,,Ruqaiya Ali,SoH,Female,4.0,62
,,Fatima Malik,MAE,Female,4.18,63
,,Anna Kim,EEE,Female,4.04,63
,,Nadeem Ali,WKW SCI,Male,4.04,63
,,Luna Zhao,CoB (NBS),Female,4.52,63
,,Lina Zhang,CCEB,Female,4.05,63
,,Maya Wilson,SoH,Female,4.13,64
,,Shaista Iqbal,CCDS,Female,4.04,64
,,Brayden Adams,LKCMedicine,Male,4.04,64
,,Wenkai,CCEB,Female,4.05,64
,,Lola Li,SSS,Female,4.52,64
,,Chandra Menon,ASE,Male,4.03,65
,,Farah Ahmed,CCEB,Female,4.04,65
,,Dominic Scott,SPMS,Male,4.09,65
,,Gemma Lee,SSS,Female,4.0,65
,,Sophia Brown,CoB (NBS),Female,4.52,65
,,Ying Zhang,EEE,Female,4.18,66
,,Giselle Bautista,CCDS,Female,4.04,66
,,Carl Li,SBS,Male,4.09,66
,,Alina Tan,CCDS,Female,4.05,66
,,Alya Binti Rahim,CoB (NBS),Female,4.52,66
,,Rahul Mehta,MAE,Male,4.08,67
,,Kang Lei,CCDS,Female,4.04,67
,,Owen Garcia,MAE,Male,4.09,67
,,Cynthia Handayani,EEE,Female,4.05,67
,,Sadie Rivera,NIE,Female,4.52,67
,,Hana Watanabe,EEE,Female,4.18,68
,,Zara Wang,CCDS,Female,4.04,68
,,Aamir Khan,SoH,Male,4.04,68
,,Nicholas Tan,MAE,Male,3.95,68
,,Kylie Ross,SSS,Female,4.52,68
,,Zheng Guo,EEE,Male,4.08,69
,,Shamita Rani,SBS,Female,4.04,69
,,Owais Khan,EEE,Male,4.09,69
,,Vania Alonzo,EEE,Female,4.05,69
,,Samantha Sun,NIE,Female,4.52,69
,,Ethan Ong,CCEB,Male,4.08,70
,,Derek Hill,MAE,Male,4.09,70
,,Violet Zhou,EEE,Female,4.04,70
,,Toby Lim,MAE,Male,3.95,70
,,Akemi Saito,NIE,Female,4.52,70
,,Aria Lee,CCEB,Female,3.88,71
,,Julian Tan,CoB (NBS),Male,4.03,71
,,Rory Hughes,EEE,Male,4.09,71
,,Mansoor Aslam,CoE,Male,3.95,71
,,Sophie Taylor,CoB (NBS),Female,4.52,71
,,Kathy Lau,SSS,Female,4.48,72
,,Talia Li,CCDS,Female,4.18,72
,,Paul Kim,NIE,Male,4.04,72
,,Chen Yu,SBS,Male,3.94,72
,,Shanwei,CoB (NBS),Male,3.9,72
,,Zain Malik,CEE,Female,4.18,73
,,Liam Zhang,CoB (NBS),Male,4.04,73
,,Yasmin Reddy,MAE,Female,4.04,73
,,Janelle Tan,SSS,Female,4.0,73
,,Indira Ong,CoB (NBS),Female,4.48,73
,,Shawn Ng,CoB (NBS),Male,4.03,74
,,Kiran Reddy,CoE,Male,4.09,74
,,Wesley Villanueva,CoB (NBS),Male,3.89,74
,,Huanqing,EEE,Female,4.05,74
,,Anu Joshi,CoB (NBS),Female,4.48,74
,,Zadie Harris,MAE,Female,4.52,75
,,Xiao Wei,ADM,Male,4.03,75
,,Dylan Tan,SoH,Male,4.04,75
,,Maria Lam,MAE,Female,4.04,75
,,Lina Abdullah,SoH,Female,4.0,75
,,Asha Mehta,CCDS,Female,4.52,76
,,Nguyen Van Loc,CCEB,Male,4.08,76
,,Zane Navarro,SPMS,Male,4.09,76
,,Eric Lim,CoB (NBS),Male,3.89,76
,,Zaira Binti Karim,MAE,Female,4.05,76
,,Layla Reddy,CCDS,Female,4.52,77
,,Jai Singh,CoB (NBS),Male,4.04,77
,,Rizwan Raza,CEE,Female,4.18,77
,,Fei Hong Lim,CoB (NBS),Male,3.9,77
,,Nur Fatimah,MAE,Female,4.04,77
,,Logan Green,CCEB,Male,4.09,78
,,Dane Santos,CCDS,Male,4.08,78
,,Siti Nurbaya,MAE,Female,4.05,78
,,Olivia Johnson,CCDS,Female,4.52,78
,,Rachael Tan,SSS,Female,3.7,78
,,Isaac Wong,CoB (NBS),Male,4.04,79
,,Isaiah Huang,MAE,Male,4.08,79
,,Felix Liu,EEE,Male,3.95,79
,,Sadia Khan,MAE,Female,4.52,79
,,Isabella Cheung,SBS,Female,4.04,79
,,Brayden Torres,CCDS,Male,4.09,80
,,Jackson Yang,SSS,Male,4.03,80
,,Wei Ling,CEE,Female,4.05,80
,,Mi-kyung Han,CEE,Female,4.52,80
,,Ariana Bennett,CCEB,Female,4.04,80
,,Zeke Yang,MSE,Male,4.09,81
,,Jayden Smith,ASE,Male,4.03,81
,,Min Jie Lim,CEE,Male,3.95,81
,,Jin Wei,CCEB,Female,4.52,81
,,Noor Fatima,CCDS,Female,4.04,81
,,Caleb Mitchell,EEE,Male,4.09,82
,,Liam Yip,CEE,Male,4.08,82
,,Linda Tan,CEE,Female,4.05,82
,,Sophia Johnson,CCEB,Female,4.52,82
,,Tian Hua,CEE,Male,4.09,83
,,Lucas Gonzalez,CoE,Male,4.08,83
,,Monica Yeo,CoE,Female,4.05,83
,,Tam Nguyen,MAE,Female,4.52,83
,,Chandra Menon,SoH,Male,3.89,83
,,Haruto Suzuki,WKW SCI,Male,4.04,84
,,Oliver Wu,MAE,Male,4.08,84
,,Jovian Huang,SPMS,Male,3.95,84
,,Sofia Turner,SBS,Female,4.04,84
,,Anushka Reddy,EEE,Female,4.52,84
,,Wesley Turner,EEE,Male,4.09,85
,,Victor Andreyev,EEE,Male,4.08,85
,,Serena Chang,EEE,Female,4.05,85
,,Aditi Joshi,MAE,Female,4.52,85
,,Elliot Lim,SSS,Male,3.89,85
,,James Taylor,CoE,Male,4.09,86
,,Yan Li,CCEB,Female,4.18,86
,,Natasha Ng,ADM,Female,4.0,86
,,Claudia Kim,SBS,Female,4.04,86
,,Uma Parker,CCDS,Female,4.52,86
,,Arjun Sinha,EEE,Male,4.09,87
,,Dustin Zhao,CEE,Male,4.08,87
,,Jameelah Binti Ali,CEE,Female,4.05,87
,,Fatima Rahman,CCEB,Female,4.52,87
,,Kevin Wang,MAE,Male,4.09,88
,,Kaori Nakajima,SBS,Female,4.18,88
,,Alia Binti Mohd,CoB (NBS),Female,4.0,88
,,Saira Bukhari,CEE,Female,4.04,88
,,Sophie Hughes,MAE,Female,4.52,88
,,Ricky Chen,CoE,Male,4.09,89
,,Andrew Clark,EEE,Male,4.08,89
,,Mei Ling Ong,MAE,Female,4.05,89
,,Cyrus Liu,CoB (NBS),Male,3.89,89
,,Pooja Singh,EEE,Female,4.52,89
,,James Jackson,CEE,Male,4.09,90
,,Jayden Lee,EEE,Male,4.08,90
,,Jingwen,SBS,Female,4.05,90
,,Harsh Patel,WKW SCI,Male,3.89,90
,,Kanika Iyer,CCDS,Female,4.52,90
,,Gideon Torres,CoB (NBS),Male,4.04,91
,,Nguyen Thi Thuy,SSS,Female,4.13,91
,,Jack Ng,CoE,Male,3.95,91
,,Riley Brown,EEE,Male,3.94,91
,,Asha Devi,CCDS,Female,4.52,91
,,Dallas Huang,CEE,Male,4.09,92
,,Gwen Lee,EEE,Female,4.18,92
,,Huang Xin,EEE,Male,3.95,92
,,Tanvi Desai,MSE,Female,4.04,92
,,Adil Bin Rahman,SoH,Male,4.35,92
,,Bradley Yang,CEE,Male,4.09,93
,,Nash Reddy,MAE,Male,4.08,93
,,Mingjing,CCEB,Female,4.05,93
,,Olivia Tam,CEE,Female,4.04,93
,,Gaurav Mehta,CoB (NBS),Male,4.35,93
,,Evelyn Cheung,SBS,Female,4.48,94
,,Ritika Ali,CCEB,Female,4.18,94
,,Layla Collins,EEE,Female,4.05,94
,,Lola Zhao,CEE,Female,4.19,94
,,Lydia Yip,EEE,Female,4.48,95
,,Ella Villanueva,MAE,Female,4.18,95
,,Violeta Ong,SSS,Female,4.0,95
,,Jack Nelson,EEE,Male,3.94,95
,,Nida Javed,SBS,Female,4.19,95
,,Maya Rani,EEE,Female,4.18,96
,,Qianwen,CCDS,Female,4.05,96
,,Willa Pineda,MAE,Female,4.48,96
,,Margaret Tan,CEE,Female,4.19,96
,,Ananya Kaul,CoE,Female,4.18,97
,,Chunxiu,CoE,Female,4.05,97
,,Tyler Adams,WKW SCI,Male,3.89,97
,,Ava Rivera,MAE,Female,4.48,97
,,Ishika Roy,EEE,Female,4.19,97
,,Yasmin Lee,SBS,Female,4.05,98
,,Arvind Reddy,SPMS,Male,4.08,98
,,Carmen Torres,SBS,Female,4.48,98
,,Zainab Malik,MAE,Female,4.19,98
,,Kartik Reddy,CoB (NBS),Male,4.3,99
,,Lucas Wright,SoH,Male,3.9,99
,,Chen Bo,NIE,Male,4.03,99
,,Lila Allen,CCDS,Female,4.04,99
